Plot Title: 20139118_Baldy_SnowmeltB1,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20139118, SEN S/N: 9713850)","Water Content, m³/m³ (LGR S/N: 20139118, SEN S/N: 20152217)"
1,5/29/18 13:00,48.405,0.2914
2,5/29/18 14:00,51.237,0.2925
3,5/29/18 15:00,52.947,0.2925
4,5/29/18 16:00,52.509,0.2928
5,5/29/18 17:00,51.721,0.2928
6,5/29/18 18:00,51.589,0.2932
7,5/29/18 19:00,50.268,0.2932
8,5/29/18 20:00,48.405,0.2935
9,5/29/18 21:00,46.616,0.2932
10,5/29/18 22:00,44.991,0.2935
11,5/29/18 23:00,43.534,0.2935
12,5/30/18 0:00,42.341,0.2938
13,5/30/18 1:00,41.322,0.2938
14,5/30/18 2:00,40.345,0.2938
15,5/30/18 3:00,39.454,0.2935
16,5/30/18 4:00,38.795,0.2935
17,5/30/18 5:00,38.131,0.2938
18,5/30/18 6:00,37.656,0.2935
19,5/30/18 7:00,37.751,0.2938
20,5/30/18 8:00,38.7,0.2942
21,5/30/18 9:00,40.811,0.2942
22,5/30/18 10:00,43.671,0.2942
23,5/30/18 11:00,46.436,0.2942
24,5/30/18 12:00,49.516,0.2938
25,5/30/18 13:00,51.94,0.2935
26,5/30/18 14:00,53.908,0.2935
27,5/30/18 15:00,55.168,0.2935
28,5/30/18 16:00,54.43,0.2935
29,5/30/18 17:00,51.501,0.2949
30,5/30/18 18:00,49.116,0.2973
31,5/30/18 19:00,48.227,0.2973
32,5/30/18 20:00,47.064,0.297
33,5/30/18 21:00,45.534,0.297
34,5/30/18 22:00,44.173,0.2966
35,5/30/18 23:00,42.984,0.2966
36,5/31/18 0:00,41.878,0.2966
37,5/31/18 1:00,40.951,0.2963
38,5/31/18 2:00,40.204,0.2963
39,5/31/18 3:00,39.549,0.2963
40,5/31/18 4:00,38.889,0.2959
41,5/31/18 5:00,38.322,0.2959
42,5/31/18 6:00,37.942,0.2963
43,5/31/18 7:00,38.084,0.2963
44,5/31/18 8:00,38.842,0.2966
45,5/31/18 9:00,41.137,0.297
46,5/31/18 10:00,44.263,0.2963
47,5/31/18 11:00,47.334,0.2966
48,5/31/18 12:00,50.841,0.2963
49,5/31/18 13:00,53.602,0.2952
50,5/31/18 14:00,55.342,0.2946
51,5/31/18 15:00,56.556,0.2946
52,5/31/18 16:00,57.204,0.2942
53,5/31/18 17:00,56.988,0.2938
54,5/31/18 18:00,56.208,0.2942
55,5/31/18 19:00,54.561,0.2938
56,5/31/18 20:00,52.335,0.2935
57,5/31/18 21:00,50.356,0.2935
58,5/31/18 22:00,48.45,0.2938
59,5/31/18 23:00,46.796,0.2946
60,6/1/18 0:00,45.534,0.2942
61,6/1/18 1:00,44.355,0.2942
62,6/1/18 2:00,43.488,0.2942
63,6/1/18 3:00,42.663,0.2946
64,6/1/18 4:00,41.878,0.2946
65,6/1/18 5:00,40.951,0.2949
66,6/1/18 6:00,40.111,0.2942
67,6/1/18 7:00,39.924,0.2946
68,6/1/18 8:00,40.251,0.2949
69,6/1/18 9:00,41.693,0.2952
70,6/1/18 10:00,43.808,0.2949
71,6/1/18 11:00,46.436,0.2946
72,6/1/18 12:00,49.204,0.2949
73,6/1/18 13:00,52.115,0.2946
74,6/1/18 14:00,54.604,0.2942
75,6/1/18 15:00,56.035,0.2946
76,6/1/18 16:00,56.599,0.2942
77,6/1/18 17:00,55.863,0.2942
78,6/1/18 18:00,54.909,0.2935
79,6/1/18 19:00,53.472,0.2938
80,6/1/18 20:00,51.37,0.2932
81,6/1/18 21:00,49.294,0.2938
82,6/1/18 22:00,47.512,0.2935
83,6/1/18 23:00,46.076,0.2935
84,6/2/18 0:00,44.627,0.2935
85,6/2/18 1:00,43.351,0.2935
86,6/2/18 2:00,42.247,0.2935
87,6/2/18 3:00,41.23,0.2935
88,6/2/18 4:00,40.392,0.2935
89,6/2/18 5:00,39.69,0.2932
90,6/2/18 6:00,39.173,0.2935
91,6/2/18 7:00,39.267,0.2938
92,6/2/18 8:00,39.877,0.2938
93,6/2/18 9:00,42.064,0.2942
94,6/2/18 10:00,44.809,0.2942
95,6/2/18 11:00,47.959,0.2942
96,6/2/18 12:00,51.148,0.2938
97,6/2/18 13:00,54.82,0.2935
98,6/2/18 14:00,57.506,0.2932
99,6/2/18 15:00,59.185,0.2932
100,6/2/18 16:00,59.916,0.2928
101,6/2/18 17:00,59.959,0.2925
102,6/2/18 18:00,59.185,0.2922
103,6/2/18 19:00,57.592,0.2922
104,6/2/18 20:00,55.256,0.2922
105,6/2/18 21:00,53.078,0.2919
106,6/2/18 22:00,51.193,0.2919
107,6/2/18 23:00,49.428,0.2914
108,6/3/18 0:00,47.871,0.2922
109,6/3/18 1:00,46.436,0.2922
110,6/3/18 2:00,45.354,0.2922
111,6/3/18 3:00,44.263,0.2922
112,6/3/18 4:00,43.259,0.2925
113,6/3/18 5:00,42.433,0.2925
114,6/3/18 6:00,41.878,0.2922
115,6/3/18 7:00,41.693,0.2922
116,6/3/18 8:00,42.064,0.2925
117,6/3/18 9:00,43.853,0.2928
118,6/3/18 10:00,45.534,0.2925
119,6/3/18 11:00,47.736,0.2925
120,6/3/18 12:00,49.516,0.2928
121,6/3/18 13:00,50.709,0.2932
122,6/3/18 14:00,51.809,0.2925
123,6/3/18 15:00,52.903,0.2922
124,6/3/18 16:00,53.166,0.2922
125,6/3/18 17:00,52.378,0.2919
126,6/3/18 18:00,51.062,0.2914
127,6/3/18 19:00,50.18,0.2919
128,6/3/18 20:00,49.294,0.2914
129,6/3/18 21:00,48.004,0.2914
130,6/3/18 22:00,46.706,0.2919
131,6/3/18 23:00,45.444,0.2914
132,6/4/18 0:00,44.263,0.2919
133,6/4/18 1:00,43.351,0.2919
134,6/4/18 2:00,42.433,0.2914
135,6/4/18 3:00,41.554,0.2919
136,6/4/18 4:00,40.764,0.2922
137,6/4/18 5:00,40.111,0.2919
138,6/4/18 6:00,39.549,0.2922
139,6/4/18 7:00,39.83,0.2925
140,6/4/18 8:00,40.858,0.2925
141,6/4/18 9:00,43.167,0.2925
142,6/4/18 10:00,46.076,0.2925
143,6/4/18 11:00,49.161,0.2922
144,6/4/18 12:00,52.554,0.2919
145,6/4/18 13:00,55.776,0.2925
146,6/4/18 14:00,57.979,0.2922
147,6/4/18 15:00,58.928,0.2919
148,6/4/18 16:00,58.669,0.2919
149,6/4/18 17:00,58.842,0.2911
150,6/4/18 18:00,58.368,0.2908
151,6/4/18 19:00,56.944,0.2908
152,6/4/18 20:00,54.734,0.2904
153,6/4/18 21:00,52.772,0.2904
154,6/4/18 22:00,50.974,0.2904
155,6/4/18 23:00,49.428,0.2904
156,6/5/18 0:00,48.004,0.2904
157,6/5/18 1:00,46.751,0.2904
158,6/5/18 2:00,45.624,0.2904
159,6/5/18 3:00,44.627,0.2904
160,6/5/18 4:00,43.716,0.2908
161,6/5/18 5:00,42.892,0.2908
162,6/5/18 6:00,42.156,0.2908
163,6/5/18 7:00,42.247,0.2908
164,6/5/18 8:00,43.443,0.2908
165,6/5/18 9:00,45.761,0.2911
166,6/5/18 10:00,48.628,0.2908
167,6/5/18 11:00,51.633,0.2908
168,6/5/18 12:00,55.342,0.2911
169,6/5/18 13:00,57.247,0.2904
170,6/5/18 14:00,58.109,0.2901
171,6/5/18 15:00,59.142,0.2901
172,6/5/18 16:00,60.089,0.2901
173,6/5/18 17:00,60.433,0.2901
174,6/5/18 18:00,59.572,0.2898
175,6/5/18 19:00,57.807,0.289
176,6/5/18 20:00,55.776,0.2895
177,6/5/18 21:00,53.82,0.2887
178,6/5/18 22:00,52.115,0.2887
179,6/5/18 23:00,50.621,0.2887
180,6/6/18 0:00,49.116,0.2887
181,6/6/18 1:00,47.691,0.289
182,6/6/18 2:00,46.436,0.2887
183,6/6/18 3:00,45.354,0.289
184,6/6/18 4:00,44.263,0.289
185,6/6/18 5:00,43.306,0.2887
186,6/6/18 6:00,42.433,0.2887
187,6/6/18 7:00,42.8,0.2895
188,6/6/18 8:00,43.945,0.289
189,6/6/18 9:00,46.031,0.2898
190,6/6/18 10:00,48.583,0.289
191,6/6/18 11:00,51.458,0.2895
192,6/6/18 12:00,54.734,0.2887
193,6/6/18 13:00,58.239,0.2887
194,6/6/18 14:00,60.561,0.2887
195,6/6/18 15:00,61.677,0.2881
196,6/6/18 16:00,62.019,0.2884
197,6/6/18 17:00,61.72,0.2881
198,6/6/18 18:00,60.604,0.2877
199,6/6/18 19:00,59.056,0.2868
200,6/6/18 20:00,57.16,0.2874
201,6/6/18 21:00,55.081,0.2877
202,6/6/18 22:00,53.166,0.2874
203,6/6/18 23:00,51.413,0.2874
204,6/7/18 0:00,49.87,0.2868
205,6/7/18 1:00,48.672,0.2874
206,6/7/18 2:00,47.377,0.2877
207,6/7/18 3:00,46.211,0.2884
208,6/7/18 4:00,45.172,0.2887
209,6/7/18 5:00,44.263,0.289
210,6/7/18 6:00,43.534,0.2887
211,6/7/18 7:00,43.259,0.2877
212,6/7/18 8:00,44.037,0.2874
213,6/7/18 9:00,46.076,0.2874
214,6/7/18 10:00,48.493,0.2874
215,6/7/18 11:00,51.458,0.2874
216,6/7/18 12:00,54.516,0.2874
217,6/7/18 13:00,57.765,0.2881
218,6/7/18 14:00,60.303,0.2864
219,6/7/18 15:00,62.233,0.2868
220,6/7/18 16:00,62.791,0.2857
221,6/7/18 17:00,62.49,0.285
222,6/7/18 18:00,61.376,0.2847
223,6/7/18 19:00,59.401,0.285
224,6/7/18 20:00,56.988,0.284
225,6/7/18 21:00,54.865,0.284
226,6/7/18 22:00,52.817,0.2844
227,6/7/18 23:00,51.148,0.2844
228,6/8/18 0:00,49.649,0.284
229,6/8/18 1:00,48.227,0.284
230,6/8/18 2:00,47.064,0.2844
231,6/8/18 3:00,45.896,0.2844
232,6/8/18 4:00,44.809,0.2844
233,6/8/18 5:00,43.9,0.2844
234,6/8/18 6:00,43.075,0.2844
235,6/8/18 7:00,43.306,0.2844
236,6/8/18 8:00,44.492,0.2847
237,6/8/18 9:00,46.661,0.2847
238,6/8/18 10:00,49.383,0.2847
239,6/8/18 11:00,52.16,0.2844
240,6/8/18 12:00,54.909,0.284
241,6/8/18 13:00,57.463,0.2864
242,6/8/18 14:00,60.69,0.2834
243,6/8/18 15:00,62.791,0.2834
244,6/8/18 16:00,63.433,0.2824
245,6/8/18 17:00,63.133,0.2824
246,6/8/18 18:00,61.891,0.2817
247,6/8/18 19:00,59.916,0.284
248,6/8/18 20:00,57.506,0.281
249,6/8/18 21:00,55.256,0.2813
250,6/8/18 22:00,53.209,0.2813
251,6/8/18 23:00,51.325,0.281
252,6/9/18 0:00,49.737,0.2813
253,6/9/18 1:00,48.315,0.281
254,6/9/18 2:00,46.974,0.2813
255,6/9/18 3:00,45.851,0.2813
256,6/9/18 4:00,44.809,0.281
257,6/9/18 5:00,43.9,0.281
258,6/9/18 6:00,43.075,0.281
259,6/9/18 7:00,43.306,0.2821
260,6/9/18 8:00,44.582,0.2821
261,6/9/18 9:00,46.841,0.2821
262,6/9/18 10:00,49.604,0.2813
263,6/9/18 11:00,52.729,0.2806
264,6/9/18 12:00,57.247,0.2821
265,6/9/18 13:00,59.959,0.28
266,6/9/18 14:00,62.148,0.2806
267,6/9/18 15:00,63.39,0.279
268,6/9/18 16:00,63.648,0.279
269,6/9/18 17:00,63.475,0.2793
270,6/9/18 18:00,62.233,0.2783
271,6/9/18 19:00,60.217,0.2786
272,6/9/18 20:00,57.807,0.2776
273,6/9/18 21:00,55.69,0.277
274,6/9/18 22:00,53.69,0.2773
275,6/9/18 23:00,51.94,0.2773
276,6/10/18 0:00,50.709,0.2783
277,6/10/18 1:00,49.561,0.277
278,6/10/18 2:00,48.538,0.2776
279,6/10/18 3:00,47.602,0.277
280,6/10/18 4:00,46.796,0.277
281,6/10/18 5:00,45.851,0.277
282,6/10/18 6:00,44.991,0.277
283,6/10/18 7:00,45.127,0.277
284,6/10/18 8:00,45.761,0.2773
285,6/10/18 9:00,47.334,0.2803
286,6/10/18 10:00,49.737,0.277
287,6/10/18 11:00,52.686,0.2773
288,6/10/18 12:00,57.074,0.2766
289,6/10/18 13:00,59.745,0.2759
290,6/10/18 14:00,61.547,0.2756
291,6/10/18 15:00,62.49,0.2763
292,6/10/18 16:00,62.875,0.2766
293,6/10/18 17:00,62.49,0.2766
294,6/10/18 18:00,61.205,0.2763
295,6/10/18 19:00,59.272,0.2759
296,6/10/18 20:00,56.988,0.2743
297,6/10/18 21:00,55.038,0.2743
298,6/10/18 22:00,53.384,0.2753
299,6/10/18 23:00,51.721,0.2736
300,6/11/18 0:00,50.356,0.2739
301,6/11/18 1:00,48.938,0.2739
302,6/11/18 2:00,47.871,0.2736
303,6/11/18 3:00,47.064,0.2739
304,6/11/18 4:00,46.166,0.2759
305,6/11/18 5:00,44.991,0.2759
306,6/11/18 6:00,44.037,0.2743
307,6/11/18 7:00,44.218,0.2739
308,6/11/18 8:00,45.262,0.2743
309,6/11/18 9:00,47.289,0.2759
310,6/11/18 10:00,49.914,0.2739
311,6/11/18 11:00,52.817,0.2729
312,6/11/18 12:00,56.728,0.2732
313,6/11/18 13:00,60.433,0.2732
314,6/11/18 14:00,62.362,0.2722
315,6/11/18 15:00,63.946,0.2732
316,6/11/18 16:00,64.375,0.2732
317,6/11/18 17:00,63.99,0.2722
318,6/11/18 18:00,62.704,0.2722
319,6/11/18 19:00,60.433,0.2736
320,6/11/18 20:00,57.936,0.2712
321,6/11/18 21:00,55.602,0.2712
322,6/11/18 22:00,53.472,0.2712
323,6/11/18 23:00,51.678,0.2712
324,6/12/18 0:00,50.092,0.2712
325,6/12/18 1:00,48.85,0.2719
326,6/12/18 2:00,47.647,0.2719
327,6/12/18 3:00,46.436,0.2719
328,6/12/18 4:00,45.354,0.2719
329,6/12/18 5:00,44.445,0.2719
330,6/12/18 6:00,43.534,0.2715
331,6/12/18 7:00,44.173,0.2722
332,6/12/18 8:00,45.579,0.2726
333,6/12/18 9:00,47.871,0.2729
334,6/12/18 10:00,50.797,0.2722
335,6/12/18 11:00,53.908,0.2701
336,6/12/18 12:00,59.099,0.2698
337,6/12/18 13:00,62.191,0.2694
338,6/12/18 14:00,64.204,0.2691
339,6/12/18 15:00,65.145,0.2684
340,6/12/18 16:00,65.615,0.2684
341,6/12/18 17:00,64.204,0.2694
342,6/12/18 18:00,62.791,0.2684
343,6/12/18 19:00,61.205,0.2653
344,6/12/18 20:00,59.229,0.2653
345,6/12/18 21:00,56.988,0.2653
346,6/12/18 22:00,54.995,0.2653
347,6/12/18 23:00,53.253,0.2653
348,6/13/18 0:00,51.764,0.2657
349,6/13/18 1:00,50.445,0.2657
350,6/13/18 2:00,49.204,0.2653
351,6/13/18 3:00,48.137,0.2657
352,6/13/18 4:00,47.154,0.2657
353,6/13/18 5:00,46.256,0.2657
354,6/13/18 6:00,45.354,0.2657
355,6/13/18 7:00,45.896,0.2657
356,6/13/18 8:00,47.244,0.2653
357,6/13/18 9:00,49.516,0.2653
358,6/13/18 10:00,52.335,0.265
359,6/13/18 11:00,55.819,0.2642
360,6/13/18 12:00,60.861,0.2635
361,6/13/18 13:00,63.648,0.2624
362,6/13/18 14:00,65.788,0.2624
363,6/13/18 15:00,66.558,0.2639
364,6/13/18 16:00,66.643,0.2618
365,6/13/18 17:00,66.214,0.2611
366,6/13/18 18:00,64.76,0.2615
367,6/13/18 19:00,62.661,0.2607
368,6/13/18 20:00,60.517,0.2607
369,6/13/18 21:00,58.582,0.2607
370,6/13/18 22:00,56.512,0.2607
371,6/13/18 23:00,55.213,0.2607
372,6/14/18 0:00,54.169,0.2607
373,6/14/18 1:00,53.121,0.2607
374,6/14/18 2:00,52.115,0.2607
375,6/14/18 3:00,51.501,0.2604
376,6/14/18 4:00,50.709,0.2604
377,6/14/18 5:00,50.135,0.2604
378,6/14/18 6:00,49.737,0.2607
379,6/14/18 7:00,49.87,0.2607
380,6/14/18 8:00,50.092,0.2604
381,6/14/18 9:00,51.458,0.26
382,6/14/18 10:00,53.908,0.2596
383,6/14/18 11:00,56.512,0.2589
384,6/14/18 12:00,60.346,0.2585
385,6/14/18 13:00,64.033,0.2579
386,6/14/18 14:00,65.615,0.2571
387,6/14/18 15:00,65.53,0.2564
388,6/14/18 16:00,65.872,0.256
389,6/14/18 17:00,65.23,0.2557
390,6/14/18 18:00,63.903,0.2546
391,6/14/18 19:00,62.019,0.2542
392,6/14/18 20:00,60.046,0.2542
393,6/14/18 21:00,58.195,0.2546
394,6/14/18 22:00,56.728,0.2553
395,6/14/18 23:00,55.081,0.2553
396,6/15/18 0:00,53.776,0.2553
397,6/15/18 1:00,52.423,0.2553
398,6/15/18 2:00,51.193,0.2553
399,6/15/18 3:00,50.18,0.2553
400,6/15/18 4:00,49.294,0.2557
401,6/15/18 5:00,48.36,0.2553
402,6/15/18 6:00,47.512,0.2557
403,6/15/18 7:00,47.826,0.2553
404,6/15/18 8:00,48.938,0.2553
405,6/15/18 9:00,50.841,0.2546
406,6/15/18 10:00,53.298,0.2538
407,6/15/18 11:00,55.69,0.2534
408,6/15/18 12:00,60.174,0.252
409,6/15/18 13:00,63.475,0.2509
410,6/15/18 14:00,64.375,0.2505
411,6/15/18 15:00,64.632,0.2502
412,6/15/18 16:00,65.829,0.2494
413,6/15/18 17:00,65.745,0.249
414,6/15/18 18:00,64.674,0.2487
415,6/15/18 19:00,62.533,0.2483
416,6/15/18 20:00,60.433,0.2483
417,6/15/18 21:00,58.455,0.2479
418,6/15/18 22:00,56.988,0.2487
419,6/15/18 23:00,55.863,0.2483
420,6/16/18 0:00,54.82,0.2483
421,6/16/18 1:00,53.951,0.2483
422,6/16/18 2:00,53.253,0.2483
423,6/16/18 3:00,52.597,0.2483
424,6/16/18 4:00,51.984,0.2479
425,6/16/18 5:00,51.413,0.2483
426,6/16/18 6:00,50.709,0.2479
427,6/16/18 7:00,50.268,0.2479
428,6/16/18 8:00,50.709,0.2479
429,6/16/18 9:00,51.895,0.2475
430,6/16/18 10:00,52.246,0.2468
431,6/16/18 11:00,53.341,0.2468
432,6/16/18 12:00,54.516,0.2464
433,6/16/18 13:00,54.777,0.2464
434,6/16/18 14:00,54.691,0.2418
435,6/16/18 15:00,55.299,0.2414
436,6/16/18 16:00,56.426,0.241
437,6/16/18 17:00,57.29,0.2406
438,6/16/18 18:00,56.728,0.243
439,6/16/18 19:00,55.558,0.2406
440,6/16/18 20:00,54.691,0.2406
441,6/16/18 21:00,53.645,0.2418
442,6/16/18 22:00,52.817,0.2406
443,6/16/18 23:00,52.115,0.2406
444,6/17/18 0:00,51.501,0.2406
445,6/17/18 1:00,50.709,0.2468
446,6/17/18 2:00,50.356,0.2456
447,6/17/18 3:00,50.002,0.2456
448,6/17/18 4:00,49.428,0.2479
449,6/17/18 5:00,48.85,0.252
450,6/17/18 6:00,48.36,0.2516
451,6/17/18 7:00,48.182,0.2516
452,6/17/18 8:00,48.405,0.252
453,6/17/18 9:00,48.85,0.2524
454,6/17/18 10:00,49.471,0.2528
455,6/17/18 11:00,51.148,0.2538
456,6/17/18 12:00,53.341,0.2534
457,6/17/18 13:00,55.776,0.2534
458,6/17/18 14:00,58.669,0.2532
459,6/17/18 15:00,59.572,0.2528
460,6/17/18 16:00,58.109,0.255
461,6/17/18 17:00,56.512,0.2567
462,6/17/18 18:00,55.949,0.2571
463,6/17/18 19:00,55.906,0.2589
464,6/17/18 20:00,55.256,0.2604
465,6/17/18 21:00,54.343,0.2615
466,6/17/18 22:00,53.427,0.2621
467,6/17/18 23:00,52.686,0.2628
468,6/18/18 0:00,51.895,0.2646
469,6/18/18 1:00,51.105,0.265
470,6/18/18 2:00,50.223,0.2657
471,6/18/18 3:00,49.294,0.2666
472,6/18/18 4:00,48.493,0.267
473,6/18/18 5:00,47.871,0.2677
474,6/18/18 6:00,47.512,0.268
475,6/18/18 7:00,47.467,0.2687
476,6/18/18 8:00,47.871,0.2694
477,6/18/18 9:00,48.938,0.2698
478,6/18/18 10:00,51.458,0.2701
479,6/18/18 11:00,53.994,0.2701
480,6/18/18 12:00,56.34,0.2698
481,6/18/18 13:00,60.046,0.2694
482,6/18/18 14:00,62.362,0.2691
483,6/18/18 15:00,63.005,0.2687
484,6/18/18 16:00,63.304,0.2684
485,6/18/18 17:00,62.533,0.268
486,6/18/18 18:00,61.419,0.268
487,6/18/18 19:00,59.616,0.2673
488,6/18/18 20:00,57.636,0.2673
489,6/18/18 21:00,55.776,0.2673
490,6/18/18 22:00,53.951,0.2673
491,6/18/18 23:00,52.378,0.2673
492,6/19/18 0:00,50.886,0.2673
493,6/19/18 1:00,49.604,0.2673
494,6/19/18 2:00,48.405,0.2673
495,6/19/18 3:00,47.334,0.2677
496,6/19/18 4:00,46.346,0.2677
497,6/19/18 5:00,45.624,0.268
498,6/19/18 6:00,44.719,0.2677
499,6/19/18 7:00,44.901,0.268
500,6/19/18 8:00,45.851,0.2684
501,6/19/18 9:00,47.826,0.2684
502,6/19/18 10:00,50.445,0.268
503,6/19/18 11:00,53.253,0.2677
504,6/19/18 12:00,56.772,0.267
505,6/19/18 13:00,61.075,0.2666
506,6/19/18 14:00,63.475,0.2657
507,6/19/18 15:00,64.459,0.265
508,6/19/18 16:00,64.375,0.2642
509,6/19/18 17:00,63.732,0.2639
510,6/19/18 18:00,62.362,0.2632
511,6/19/18 19:00,60.174,0.2624
512,6/19/18 20:00,57.936,0.2618
513,6/19/18 21:00,55.863,0.2618
514,6/19/18 22:00,54.037,0.2618
515,6/19/18 23:00,52.335,0.2618
516,6/20/18 0:00,50.886,0.2615
517,6/20/18 1:00,49.516,0.2615
518,6/20/18 2:00,48.315,0.2615
519,6/20/18 3:00,47.244,0.2618
520,6/20/18 4:00,46.346,0.2618
521,6/20/18 5:00,45.444,0.2618
522,6/20/18 6:00,44.582,0.2618
523,6/20/18 7:00,44.809,0.2621
524,6/20/18 8:00,45.851,0.2624
525,6/20/18 9:00,47.781,0.2628
526,6/20/18 10:00,50.356,0.2628
527,6/20/18 11:00,53.384,0.2628
528,6/20/18 12:00,56.944,0.2618
529,6/20/18 13:00,62.276,0.2615
530,6/20/18 14:00,65.017,0.2604
531,6/20/18 15:00,66.9,0.2596
532,6/20/18 16:00,67.199,0.2592
533,6/20/18 17:00,66.385,0.2582
534,6/20/18 18:00,64.845,0.2582
535,6/20/18 19:00,62.661,0.2571
536,6/20/18 20:00,60.26,0.2564
537,6/20/18 21:00,57.979,0.256
538,6/20/18 22:00,55.949,0.2567
539,6/20/18 23:00,54.212,0.2567
540,6/21/18 0:00,52.641,0.2567
541,6/21/18 1:00,51.325,0.2564
542,6/21/18 2:00,50.002,0.2571
543,6/21/18 3:00,48.895,0.2571
544,6/21/18 4:00,47.959,0.2571
545,6/21/18 5:00,47.064,0.256
546,6/21/18 6:00,46.256,0.256
547,6/21/18 7:00,46.526,0.2571
548,6/21/18 8:00,47.691,0.2564
549,6/21/18 9:00,49.87,0.2567
550,6/21/18 10:00,52.597,0.256
551,6/21/18 11:00,55.819,0.256
552,6/21/18 12:00,60.303,0.2553
553,6/21/18 13:00,65.017,0.2546
554,6/21/18 14:00,67.329,0.2534
555,6/21/18 15:00,68.614,0.2532
556,6/21/18 16:00,68.698,0.2528
557,6/21/18 17:00,67.757,0.2516
558,6/21/18 18:00,66.173,0.2512
